Index	Symbol	Company	MarketCap	Price	%Change	Revenue
372	ENPH	Enphase Energy, Inc.	17.90B	131.87	-3.31%	2.29B
373	MKC	McCormick & Company, Incorporated	17.73B	66.15	0.92%	6.66B
374	EXPE	Expedia Group, Inc.	17.69B	135.25	-2.37%	12.84B
375	JBL	Jabil Inc.	17.67B	138.50	-1.80%	33.45B
376	NTAP	NetApp, Inc.	17.66B	85.71	-1.79%	6.10B
377	CNP	CenterPoint Energy, Inc.	17.60B	27.88	0.04%	9.23B
378	CINF	Cincinnati Financial Corporation	17.55B	111.86	-0.49%	10.01B
379	WDC	Western Digital Corporation	17.51B	54.00	-3.59%	11.26B
380	FDS	FactSet Research Systems Inc.	17.46B	458.42	-1.21%	2.12B
381	OMC	Omnicom Group Inc.	17.33B	87.51	0.55%	14.69B
382	HOLX	Hologic, Inc.	17.32B	73.79	-0.01%	3.97B
383	IEX	IDEX Corporation	17.20B	227.47	-0.09%	3.27B
384	ATO	Atmos Energy Corporation	17.19B	113.95	-0.28%	3.95B
385	RF	Regions Financial Corporation	17.19B	18.48	-0.38%	7.26B
386	LDOS	Leidos Holdings, Inc.	17.03B	123.83	1.34%	15.44B
387	CMS	CMS Energy Corporation	16.86B	57.27	0.09%	7.46B
388	AVY	Avery Dennison Corporation	16.82B	208.83	0.08%	8.28B
389	TXT	Textron Inc.	16.80B	85.69	-0.60%	13.68B
390	FSLR	First Solar, Inc.	16.77B	156.98	-1.76%	3.16B
391	SWKS	Skyworks Solutions, Inc.	16.62B	103.75	-1.09%	4.64B
392	L	Loews Corporation	16.52B	74.34	-1.17%	15.90B
393	AKAM	Akamai Technologies, Inc.	16.47B	109.19	-2.13%	3.74B
394	CE	Celanese Corporation	16.44B	151.06	-0.22%	10.72B
395	NTRS	Northern Trust Corporation	16.40B	79.95	-1.05%	6.73B
396	SYF	Synchrony Financial	16.09B	39.56	-0.73%	7.66B
397	MAS	Masco Corporation	16.08B	73.16	-0.44%	7.97B
398	EG	Everest Group, Ltd.	15.96B	367.87	-1.74%	14.18B
399	BBY	Best Buy Co., Inc.	15.89B	73.75	-1.21%	43.54B
400	HRL	Hormel Foods Corporation	15.85B	28.99	-0.41%	12.11B
401	VTRS	Viatris Inc.	15.67B	13.06	1.87%	15.47B
402	TER	Teradyne, Inc.	15.63B	102.24	-0.31%	2.74B
403	TSN	Tyson Foods, Inc.	15.21B	53.12	1.05%	52.94B
404	NWSA	News Corporation	15.12B	26.24	-0.98%	9.97B
405	NWS	News Corporation	15.12B	27.41	-0.94%	9.97B
406	ESS	Essex Property Trust, Inc.	15.11B	235.37	0.32%	1.67B
407	NDSN	Nordson Corporation	15.08B	264.07	-0.37%	2.63B
408	MAA	Mid-America Apartment Communities, Inc.	15.08B	129.17	-0.26%	2.15B
409	PKG	Packaging Corporation of America	15.06B	167.98	0.65%	7.84B
410	TRMB	Trimble Inc.	15.00B	60.29	0.23%	3.72B
411	POOL	Pool Corporation	14.98B	387.30	-0.47%	5.63B
412	CF	CF Industries Holdings, Inc.	14.85B	77.70	1.17%	6.63B
413	DPZ	Domino's Pizza, Inc.	14.71B	421.85	-0.68%	4.47B
414	CFG	Citizens Financial Group, Inc.	14.71B	31.56	-0.57%	7.79B
415	LW	Lamb Weston Holdings, Inc.	14.61B	101.23	-2.21%	6.35B
416	MGM	MGM Resorts International	14.53B	42.54	-1.30%	15.38B
417	ALB	Albemarle Corporation	14.39B	122.59	4.33%	9.62B
418	BEN	Franklin Resources, Inc.	14.36B	27.27	-0.37%	7.87B
419	EQT	EQT Corporation	14.27B	34.70	1.07%	6.91B
420	FOXA	Fox Corporation	14.19B	30.44	-0.39%	14.56B
421	ZBRA	Zebra Technologies Corporation	14.15B	275.46	-2.92%	4.58B
422	SNA	Snap-on Incorporated	14.10B	267.24	-0.65%	5.06B
423	DGX	Quest Diagnostics Incorporated	13.94B	124.00	-1.38%	9.25B
424	HST	Host Hotels & Resorts, Inc.	13.91B	19.72	-0.90%	5.25B
425	UAL	United Airlines Holdings, Inc.	13.77B	41.99	-1.96%	52.49B
426	MRO	Marathon Oil Corporation	13.68B	23.38	0.60%	6.74B
427	GEN	Gen Digital Inc.	13.60B	21.36	-0.14%	3.79B
428	SWK	Stanley Black & Decker, Inc.	13.55B	88.35	-1.43%	16.03B
429	TAP	Molson Coors Beverage Company	13.41B	62.15	0.13%	11.70B
430	LKQ	LKQ Corporation	13.39B	50.04	1.77%	13.37B
431	PODD	Insulet Corporation	13.34B	191.01	0.25%	1.56B
432	BG	Bunge Limited	13.32B	91.68	1.13%	61.26B
433	KIM	Kimco Realty Corporation	13.23B	19.63	-0.71%	1.77B
434	KEY	KeyCorp	13.17B	14.07	-0.92%	6.09B
435	SJM	The J. M. Smucker Company	13.17B	124.09	-0.26%	8.19B
436	AMCR	Amcor plc	13.07B	9.04	0.56%	14.03B
437	CAG	Conagra Brands, Inc.	13.01B	27.21	0.15%	12.17B
438	INCY	Incyte Corporation	12.99B	57.96	-1.71%	3.70B
439	RVTY	Revvity, Inc.	12.64B	102.46	-1.55%	2.80B
440	JKHY	Jack Henry & Associates, Inc.	12.57B	172.48	-0.92%	2.16B
441	CRL	Charles River Laboratories International, Inc.	12.57B	244.96	-0.18%	4.13B
442	IPG	The Interpublic Group of Companies, Inc.	12.43B	32.45	0.15%	10.85B
443	IP	International Paper Company	12.39B	35.80	2.08%	18.92B
444	PNR	Pentair plc	12.38B	74.92	-0.68%	4.10B
445	CPB	Campbell Soup Company	12.36B	41.45	0.41%	9.30B
446	LNT	Alliant Energy Corporation	12.34B	48.35	-0.10%	4.12B
447	AOS	A. O. Smith Corporation	11.91B	80.09	-1.12%	3.85B
448	GL	Globe Life Inc.	11.90B	125.53	-0.22%	5.35B
449	JNPR	Juniper Networks, Inc.	11.88B	36.92	-0.24%	5.56B
450	WYNN	Wynn Resorts, Limited	11.87B	105.13	-0.33%	5.70B
451	UDR	UDR, Inc.	11.87B	36.08	0.08%	1.61B
452	TFX	Teleflex Incorporated	11.80B	251.07	-1.56%	2.96B
453	NRG	NRG Energy, Inc.	11.72B	51.90	-0.23%	29.87B
454	ALLE	Allegion plc	11.62B	132.42	-0.67%	3.61B
455	NI	NiSource Inc.	11.59B	25.90	-0.27%	5.79B
456	EVRG	Evergy, Inc.	11.49B	50.03	0.18%	5.60B
457	DAY	Dayforce Inc	11.41B	73.26	-0.58%	1.45B
458	KMX	CarMax, Inc.	11.35B	71.88	-3.30%	26.63B
459	HII	Huntington Ingalls Industries, Inc.	11.29B	285.09	0.04%	11.45B
460	TECH	Bio-Techne Corporation	11.26B	71.61	0.49%	1.14B
461	WRK	WestRock Company	11.23B	43.71	0.92%	20.01B
462	AES	The AES Corporation	11.23B	16.77	-0.06%	12.76B
463	REG	Regency Centers Corporation	11.22B	60.81	-0.70%	1.28B
464	DVA	DaVita Inc.	11.16B	122.22	1.96%	12.14B
465	PAYC	Paycom Software, Inc.	11.01B	190.82	-1.83%	1.69B
466	QRVO	Qorvo, Inc.	10.83B	112.17	-1.50%	3.46B
467	FFIV	F5, Inc.	10.72B	182.35	-0.65%	2.81B
468	BXP	Boston Properties, Inc.	10.57B	67.36	0.97%	3.23B
469	TPR	Tapestry, Inc.	10.53B	45.91	0.99%	6.73B
470	CTLT	Catalent, Inc.	10.51B	58.14	1.22%	4.10B
471	CPT	Camden Property Trust	10.27B	96.16	-1.24%	1.93B
472	BBWI	Bath & Body Works, Inc.	10.26B	45.40	-0.22%	7.41B
473	MTCH	Match Group, Inc.	10.22B	37.59	-0.16%	3.28B
474	EMN	Eastman Chemical Company	10.10B	85.19	-0.07%	9.21B
475	UHS	Universal Health Services, Inc.	10.08B	162.16	-0.34%	14.03B
476	MOS	The Mosaic Company	9.98B	30.55	1.36%	15.03B
477	BIO	Bio-Rad Laboratories, Inc.	9.92B	340.52	3.59%	2.72B
478	HSIC	Henry Schein, Inc.	9.83B	75.65	0.20%	12.69B
479	AAL	American Airlines Group Inc.	9.57B	14.64	-1.74%	52.91B
480	APA	APA Corporation	9.57B	31.57	1.02%	8.68B
481	CZR	Caesars Entertainment, Inc.	9.17B	42.51	-1.51%	11.52B
482	ETSY	Etsy, Inc.	9.17B	76.57	-1.53%	2.71B
483	AIZ	Assurant, Inc.	9.14B	173.72	0.70%	10.80B
484	RHI	Robert Half International Inc.	8.56B	80.84	-1.71%	6.39B
485	CHRW	C.H. Robinson Worldwide, Inc.	8.43B	72.25	-1.97%	18.44B
486	MKTX	MarketAxess Holdings Inc.	8.25B	219.04	-0.66%	752.55M
487	FRT	Federal Realty Investment Trust	8.20B	100.42	-1.75%	1.13B
488	PNW	Pinnacle West Capital Corporation	7.70B	67.92	0.03%	4.71B
489	MHK	Mohawk Industries, Inc.	7.35B	115.42	-0.88%	11.14B
490	PARA	Paramount Global	7.33B	12.00	-4.69%	30.15B
491	GNRC	Generac Holdings Inc.	7.20B	117.28	-2.82%	4.02B
492	XRAY	DENTSPLY SIRONA Inc.	7.11B	33.58	-0.83%	3.94B
493	RL	Ralph Lauren Corporation	7.06B	180.85	-0.17%	6.60B
494	HAS	Hasbro, Inc.	7.05B	50.78	-0.53%	5.39B
495	BWA	BorgWarner Inc.	7.03B	30.61	-2.79%	14.20B
496	IVZ	Invesco Ltd.	6.94B	15.44	-1.59%	5.75B
497	NCLH	Norwegian Cruise Line Holdings Ltd.	6.92B	16.26	-1.51%	8.08B
498	CMA	Comerica Incorporated	6.64B	50.34	-2.04%	3.72B
499	FOX	Fox Corporation	6.58B	27.95	-0.68%	14.56B
500	FMC	FMC Corporation	6.53B	52.34	1.16%	4.49B
501	VFC	V.F. Corporation	6.47B	16.65	-2.35%	10.82B
502	ZION	Zions Bancorporation,NA	6.02B	40.64	-2.12%	3.08B
503	WHR	Whirlpool Corporation	5.93B	108.16	-1.49%	19.46B
